,Unnamed: 0,f,t,c
308,10989,Acinetobacter_baumannii_25561_1,1310955,collection54
309,10012,Acinetobacter_baumannii_25561_10,1310964,collection53
310,24017,Acinetobacter_baumannii_25561_2,1310956,collection59
311,10115,Acinetobacter_baumannii_25561_7,1310961,collection53
312,2174,Acinetobacter_baumannii_25569_1,1311108,collection48
313,38243,Acinetobacter_baumannii_25569_10,1311117,collection70
314,25309,Acinetobacter_baumannii_25569_2,1311109,collection46
315,28417,Acinetobacter_baumannii_25569_3,1311110,collection47
316,38766,Acinetobacter_baumannii_25569_4,1311111,collection62
317,9024,Acinetobacter_baumannii_25569_5,1311112,collection57
318,10014,Acinetobacter_baumannii_25569_6,1311113,collection53
319,25226,Acinetobacter_baumannii_25569_7,1311114,collection46
320,930,Acinetobacter_baumannii_25569_8,1311115,collection74
321,3382,Acinetobacter_baumannii_25569_9,1311116,collection71
322,11186,Acinetobacter_baumannii_25681_2,1311006,collection54
323,10337,Acinetobacter_baumannii_25681_3,1311007,collection51
324,37165,Acinetobacter_baumannii_25681_5,1311009,collection52
325,11112,Acinetobacter_baumannii_25681_6,1311010,collection54
326,31895,Acinetobacter_baumannii_25681_8,1311012,collection56
327,10136,Acinetobacter_baumannii_25681_9,1311013,collection53
328,31894,Acinetobacter_baumannii_25691_1,1310925,collection56
329,37160,Acinetobacter_baumannii_25691_10,1310934,collection52
330,2160,Acinetobacter_baumannii_25691_2,1310926,collection48
331,5632,Acinetobacter_baumannii_25691_5,1310929,collection69
332,37232,Acinetobacter_baumannii_25691_6,1310930,collection52
333,1559,Acinetobacter_baumannii_25691_7,1310931,collection64
334,6513,Acinetobacter_baumannii_25691_8,1310932,collection82
335,25861,Acinetobacter_baumannii_25691_9,1310933,collection61
336,24177,Acinetobacter_baumannii_25750_1,1310965,collection68
337,38549,Acinetobacter_baumannii_25750_6,1310970,collection62
338,23975,Acinetobacter_baumannii_25750_7,1310971,collection59
339,23198,Acinetobacter_baumannii_25750_8,1310972,collection50
340,10276,Acinetobacter_baumannii_25766_1,1310915,collection51
341,10123,Acinetobacter_baumannii_25766_10,1310924,collection53
342,11076,Acinetobacter_baumannii_25766_2,1310916,collection54
343,18206,Acinetobacter_baumannii_25766_3,1310917,collection49
344,25759,Acinetobacter_baumannii_25766_4,1310918,collection61
345,22823,Acinetobacter_baumannii_25766_5,1310919,collection45
346,2272,Acinetobacter_baumannii_25766_6,1310920,collection48
347,2352,Acinetobacter_baumannii_25766_7,1310921,collection48
348,31996,Acinetobacter_baumannii_25766_9,1310923,collection56
349,18195,Acinetobacter_baumannii_25878_1,1311045,collection49
350,10455,Acinetobacter_baumannii_25878_2,1311046,collection51
351,25799,Acinetobacter_baumannii_25878_3,1311047,collection61
352,25364,Acinetobacter_baumannii_25935_1,1310935,collection46
353,7146,Acinetobacter_baumannii_25935_10,1310944,collection60
354,11150,Acinetobacter_baumannii_25935_2,1310936,collection54
355,2233,Acinetobacter_baumannii_25935_4,1310938,collection48
356,24048,Acinetobacter_baumannii_25935_5,1310939,collection59
357,37151,Acinetobacter_baumannii_25935_6,1310940,collection52
358,11432,Acinetobacter_baumannii_25935_7,1310941,collection58
359,31839,Acinetobacter_baumannii_25935_8,1310942,collection56
360,2210,Acinetobacter_baumannii_25935_9,1310943,collection48
361,35938,Acinetobacter_baumannii_25977_9,1310913,collection72
362,28446,Acinetobacter_baumannii_26016_1,1311068,collection47
363,23831,Acinetobacter_baumannii_26016_10,1311077,collection59
364,30307,Acinetobacter_baumannii_26016_2,1311069,collection76
365,5571,Acinetobacter_baumannii_26016_3,1311070,collection69
366,25387,Acinetobacter_baumannii_26016_4,1311071,collection46
367,23233,Acinetobacter_baumannii_26016_5,1311072,collection50
368,25439,Acinetobacter_baumannii_26016_6,1311073,collection46
369,18944,Acinetobacter_baumannii_26016_7,1311074,collection84
370,18257,Acinetobacter_baumannii_26016_8,1311075,collection49
371,6602,Acinetobacter_baumannii_26016_9,1311076,collection82
372,10134,Acinetobacter_baumannii_268680,1310701,collection53
373,37259,Acinetobacter_baumannii_273929,1310738,collection52
374,25808,Acinetobacter_baumannii_277047,1310781,collection61
375,10290,Acinetobacter_baumannii_2887,1310754,collection51
376,38556,Acinetobacter_baumannii_29280,1310595,collection62
377,12687,Acinetobacter_baumannii_299505,1310643,collection55
378,10325,Acinetobacter_baumannii_303002,1310794,collection51
379,25369,Acinetobacter_baumannii_318814,1310707,collection46
380,25410,Acinetobacter_baumannii_323408,1310820,collection46
381,10231,Acinetobacter_baumannii_3390,1310710,collection51
382,12640,Acinetobacter_baumannii_339786,1310801,collection55
383,31958,Acinetobacter_baumannii_34001,1310578,collection56
384,31834,Acinetobacter_baumannii_342950,1310640,collection56
385,23240,Acinetobacter_baumannii_34654,1310581,collection50
386,28519,Acinetobacter_baumannii_348935,1310605,collection47
387,9226,Acinetobacter_baumannii_397971,1310686,collection57
388,10983,Acinetobacter_baumannii_400834,1310616,collection54
389,24164,Acinetobacter_baumannii_42057_2,1311134,collection68
390,26930,Acinetobacter_baumannii_42057_3,1311135,collection75
391,18910,Acinetobacter_baumannii_42057_4,1311136,collection84
392,11243,Acinetobacter_baumannii_42057_5,1311137,collection77
393,799,Acinetobacter_baumannii_42057_6,1311138,collection74
394,10233,Acinetobacter_baumannii_426863,1310778,collection51
395,38736,Acinetobacter_baumannii_42887,1310691,collection62
396,25306,Acinetobacter_baumannii_43557_1,1311048,collection46
397,9180,Acinetobacter_baumannii_43926,1310676,collection57
398,8757,Acinetobacter_baumannii_44298_1,1311078,collection78
399,14596,Acinetobacter_baumannii_44298_10,1311087,collection66
400,2021,Acinetobacter_baumannii_44298_2,1311079,collection73
401,17689,Acinetobacter_baumannii_44298_3,1311080,collection63
402,1962,Acinetobacter_baumannii_44298_4,1311081,collection73
403,27128,Acinetobacter_baumannii_44298_5,1311082,collection75
404,11270,Acinetobacter_baumannii_44298_6,1311083,collection77
405,2040,Acinetobacter_baumannii_44298_7,1311084,collection73
406,14576,Acinetobacter_baumannii_44298_8,1311085,collection66
407,5529,Acinetobacter_baumannii_44298_9,1311086,collection69
408,31950,Acinetobacter_baumannii_44327_1,1310985,collection56
409,28475,Acinetobacter_baumannii_44327_2,1310986,collection47
410,2239,Acinetobacter_baumannii_44327_4,1310988,collection48
411,18238,Acinetobacter_baumannii_44327_5,1310989,collection49
412,9240,Acinetobacter_baumannii_44327_6,1310990,collection57
413,31841,Acinetobacter_baumannii_44327_7,1310991,collection56
414,38582,Acinetobacter_baumannii_44327_8,1310992,collection62
415,2155,Acinetobacter_baumannii_44362_1,1311035,collection48
416,25826,Acinetobacter_baumannii_44362_10,1311044,collection61
417,10079,Acinetobacter_baumannii_44362_2,1311036,collection53
418,37309,Acinetobacter_baumannii_44362_3,1311037,collection52
419,11171,Acinetobacter_baumannii_44362_4,1311038,collection54
420,38740,Acinetobacter_baumannii_44362_5,1311039,collection62
421,25714,Acinetobacter_baumannii_44362_6,1311040,collection61
422,12630,Acinetobacter_baumannii_44362_7,1311041,collection55
423,23310,Acinetobacter_baumannii_44362_8,1311042,collection50
424,12781,Acinetobacter_baumannii_44362_9,1311043,collection55
425,28347,Acinetobacter_baumannii_44437_3,1311027,collection47
426,37272,Acinetobacter_baumannii_44437_4,1311028,collection52
427,28349,Acinetobacter_baumannii_44437_5,1311029,collection47
428,37094,Acinetobacter_baumannii_44437_7,1311031,collection52
429,2235,Acinetobacter_baumannii_44437_8,1311032,collection48
430,11510,Acinetobacter_baumannii_44437_9,1311033,collection58
431,2321,Acinetobacter_baumannii_44467_1,1310975,collection48
432,18169,Acinetobacter_baumannii_44467_10,1310984,collection49
433,23961,Acinetobacter_baumannii_44467_2,1310976,collection59
434,9100,Acinetobacter_baumannii_44467_3,1310977,collection57
435,7194,Acinetobacter_baumannii_44467_4,1310978,collection60
436,37187,Acinetobacter_baumannii_44467_5,1310979,collection52
437,18303,Acinetobacter_baumannii_44467_6,1310980,collection49
438,2370,Acinetobacter_baumannii_44467_7,1310981,collection48
439,28458,Acinetobacter_baumannii_44467_8,1310982,collection47
440,18312,Acinetobacter_baumannii_44467_9,1310983,collection49
441,30419,Acinetobacter_baumannii_44839_10,1311067,collection76
442,38150,Acinetobacter_baumannii_44839_8,1311065,collection70
443,853,Acinetobacter_baumannii_44839_9,1311066,collection74
444,2143,Acinetobacter_baumannii_44857_10,1311004,collection48
445,7204,Acinetobacter_baumannii_44857_9,1311003,collection60
446,23927,Acinetobacter_baumannii_44895_1,1310885,collection59
447,10028,Acinetobacter_baumannii_44895_10,1310894,collection53
448,11128,Acinetobacter_baumannii_44895_2,1310886,collection54
449,7296,Acinetobacter_baumannii_44895_3,1310887,collection60
450,38609,Acinetobacter_baumannii_44895_4,1310888,collection62
451,38713,Acinetobacter_baumannii_44895_5,1310889,collection62
452,2152,Acinetobacter_baumannii_44895_6,1310890,collection48
453,12778,Acinetobacter_baumannii_44895_8,1310892,collection55
454,23926,Acinetobacter_baumannii_44895_9,1310893,collection59
455,22793,Acinetobacter_baumannii_45002_10,1310904,collection45
456,10033,Acinetobacter_baumannii_45002_3,1310897,collection53
457,23999,Acinetobacter_baumannii_45002_4,1310898,collection59
458,18098,Acinetobacter_baumannii_45002_5,1310899,collection49
459,11140,Acinetobacter_baumannii_45002_6,1310900,collection54
